,Name,Pos,Org,Top 100,Org Rk,Age_x,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId,avg_fastest_speed,avg_spin,K/9,IP,BB/9,Age_y,ERA,height,weight,throws
440,Julian Garcia,MIRP,PHI,,33,26.1611111,,Rise,55 / 55,,55 / 55,50 / 50,50 / 50,2700.0,2800.0,"['87', '90']",91.0,35+,sa918182,88.5,2750.0,9.48,203.2,3.01,—,3.181668868,"6' 3""",206,R
441,Damon Jones,SIRP,PHI,,34,27.025,,Rise,55 / 55,60 / 60,,,30 / 35,2350.0,2700.0,"['91', '94']",96.0,35+,23310,92.5,2525.0,10.89,227.2,4.87,—,3.162523371,"6' 5""",225,L
442,Kyle Dohy,SIRP,PHI,,35,25.0611111,,Tail,50 / 50,40 / 40,,60 / 60,30 / 30,2400.0,2450.0,"['90', '93']",96.0,35+,20334,91.5,2425.0,14.4,135.0,7.2,—,3.933330499,"6' 2""",188,L
443,Colby White,SIRP,TBR,,36,23.2638888,,Cut/Rise,55 / 60,50 / 55,,,30 / 40,2350.0,,"['92', '95']",97.0,35+,sa3011200,93.5,,13.66,19.1,9.42,—,2.793108316,"6' 0""",190,R
444,Brendan McKay,SP,TBR,,37,25.8083333,,Sink,55 / 55,,55 / 55,50 / 55,55 / 70,2250.0,2050.0,"['91', '95']",96.0,35+,20186,93.0,2150.0,12.14,152.0,2.13,—,1.776314653,"6' 2""",212,L
445,Brooks Kriske,SIRP,BAL,,33,27.6833333,,Rise,60 / 60,50 / 50,,,35 / 35,2500.0,2450.0,"['92', '96']",98.0,35+,21189,94.0,2475.0,12.02,89.1,4.24,—,1.914177701,"6' 3""",190,R
446,Ramon Rosso,MIRP,PHI,,39,25.3333333,,Cut,,50 / 50,,,40 / 40,2600.0,2550.0,"['94', '96']",97.0,35+,20368,95.0,2575.0,9.33,246.1,3.99,—,3.251690535,"6' 4""",215,R
447,Carlos Garcia,SIRP,TBR,,40,22.8638888,,Rise,55 / 60,45 / 50,,40 / 50,30 / 40,2600.0,2500.0,"['90', '94']",95.0,35+,sa3006590,92.0,2550.0,10.21,58.2,5.57,—,0.920455094,"6' 3""",185,R
448,Victor Munoz,SIRP,TBR,,41,20.7888888,,,45 / 55,,45 / 50,40 / 50,35 / 50,2300.0,2250.0,"['90', '93']",95.0,35+,sa3006381,91.5,2275.0,8.13,73.1,5.79,—,3.681814798,"6' 4""",195,R
449,Kevin Smith,SIRP,BAL,,37,24.4055555,,Tail,45 / 45,50 / 55,,45 / 50,45 / 50,2450.0,,"['87', '90']",92.0,35+,sa3007710,88.5,,10.14,140.2,3.08,—,2.751184138,"6' 5""",200,L
450,Hsin-Chieh Lin,SP,PHI,,42,22.5583333,,Rise,40 / 45,40 / 50,,40 / 50,35 / 50,2450.0,2450.0,"['89', '92']",94.0,35+,sa3008535,90.5,2450.0,9.42,43.0,5.02,—,1.883722173,"6' 2""",225,R
451,Graeme Stinson,MIRP,TBR,,43,24.175,,,40 / 60,60 / 70,,40 / 40,35 / 45,2300.0,2650.0,"['93', '95']",98.0,35+,sa3011900,94.0,2475.0,45.0,0.2,0.0,—,13.49993201,"6' 5""",245,L
452,Zack Burdi,SIRP,BAL,,39,26.5833333,7/27/2017,Tail,65 / 65,55 / 55,,55 / 55,30 / 35,2600.0,2700.0,"['96', '98']",100.0,35+,19159,97.0,2650.0,11.48,29.0,5.59,—,5.896545519,"6' 3""",210,R
453,Nicoly Pina,SP,PHI,,43,22.0027777,,Rise,55 / 60,45 / 55,,,30 / 40,2300.0,2350.0,"['93', '96']",97.0,35+,sa3005875,94.5,2325.0,10.24,71.2,6.83,—,3.893021425,"6' 3""",203,R
454,Andrew Schultz,SIRP,PHI,,44,24.1916666,,Tail,70 / 70,45 / 50,,35 / 40,30 / 35,2450.0,,"['96', '99']",100.0,35+,sa3010782,97.5,,12.27,11.0,9.82,—,6.545454545,"6' 4""",195,R
455,Blaine Knight,SIRP,BAL,,42,25.2805555,,Rise/Tail,45 / 50,50 / 50,55 / 60,40 / 45,40 / 45,2250.0,2950.0,"['91', '94']",97.0,35+,sa3008532,92.5,2600.0,7.26,120.2,4.49,—,4.624308028,"6' 3""",170,R
